deployment_id,date,sunset_time,time_of_max,hours_until_sunset,max_butterflies
SC1,2023-11-19,2023-11-19 23:50:01,2023-11-19 07:30:01,16.333333333333332,21.0
SC1,2023-11-20,2023-11-20 23:50:01,2023-11-20 06:30:01,17.333333333333332,5.0
SC10,2024-01-07,2024-01-07 17:06:04,2024-01-07 15:36:04,1.5,78.0
SC10,2024-01-08,2024-01-08 17:06:04,2024-01-08 15:06:04,2.0,130.0
SC10,2024-01-09,2024-01-09 17:06:04,2024-01-09 16:36:04,0.5,148.0
SC10,2024-01-10,2024-01-10 17:06:04,2024-01-10 08:36:04,8.5,282.0
SC10,2024-01-11,2024-01-11 17:06:04,2024-01-11 14:36:04,2.5,306.0
SC10,2024-01-12,2024-01-12 17:36:04,2024-01-12 16:06:04,1.5,770.0
SC10,2024-01-13,2024-01-13 17:36:04,2024-01-13 14:36:04,3.0,497.0
SC10,2024-01-14,2024-01-14 17:06:04,2024-01-14 08:06:04,9.0,500.0
SC10,2024-01-15,2024-01-15 17:26:04,2024-01-15 08:26:04,9.0,397.0
SC10,2024-01-16,2024-01-16 17:26:04,2024-01-16 07:26:04,10.0,79.0
SC10,2024-01-17,2024-01-17 17:26:04,2024-01-17 16:26:04,1.0,5.0
SC10,2024-01-18,2024-01-18 17:26:04,2024-01-18 08:26:04,9.0,5.0
SC10,2024-01-22,2024-01-22 17:26:04,2024-01-22 12:56:04,4.5,4.0
SC10,2024-01-23,2024-01-23 17:26:04,2024-01-23 16:26:04,1.0,357.0
SC10,2024-01-24,2024-01-24 17:26:04,2024-01-24 16:26:04,1.0,309.0
SC10,2024-01-25,2024-01-25 17:26:04,2024-01-25 09:56:04,7.5,270.0
SC10,2024-01-26,2024-01-26 17:26:04,2024-01-26 09:26:04,8.0,137.0
SC12,2024-01-29,2024-01-29 17:50:01,2024-01-29 17:00:01,0.8333333333333334,159.0
SC12,2024-01-30,2024-01-30 17:50:01,2024-01-30 10:30:01,7.333333333333333,143.0
SC12,2024-01-31,2024-01-31 17:40:01,2024-01-31 09:30:01,8.166666666666666,149.0
SC12,2024-02-01,2024-02-01 17:50:01,2024-02-01 15:30:01,2.3333333333333335,29.0
SC12,2024-02-02,2024-02-02 17:50:01,2024-02-02 08:00:01,9.833333333333334,35.0
SC12,2024-02-03,2024-02-03 17:40:01,2024-02-03 11:30:01,6.166666666666667,26.0
SC4,2023-12-05,2023-12-05 17:00:01,2023-12-05 07:00:01,10.0,193.0
SC4,2023-12-06,2023-12-06 17:00:01,2023-12-06 15:30:01,1.5,6.0
SC4,2023-12-07,2023-12-07 17:00:01,2023-12-07 16:00:01,1.0,184.0
SC4,2023-12-08,2023-12-08 17:00:01,2023-12-08 15:00:01,2.0,337.0
SC4,2023-12-09,2023-12-09 17:00:01,2023-12-09 07:30:01,9.5,257.0
SC4,2023-12-10,2023-12-10 17:00:01,2023-12-10 15:00:01,2.0,28.0
SC4,2023-12-11,2023-12-11 17:00:01,2023-12-11 17:00:01,0.0,37.0
SC4,2023-12-12,2023-12-12 17:00:01,2023-12-12 08:30:01,8.5,54.0
SC4,2023-12-13,2023-12-13 17:00:01,2023-12-13 15:00:01,2.0,18.0
SC4,2023-12-14,2023-12-14 17:00:01,2023-12-14 07:00:01,10.0,5.0
SC4,2023-12-16,2023-12-16 16:50:01,2023-12-16 16:20:01,0.5,150.0
SC4,2023-12-17,2023-12-17 16:50:01,2023-12-17 07:50:01,9.0,135.0
SC4,2023-12-18,2023-12-18 16:50:01,2023-12-18 07:50:01,9.0,8.0
SC4,2023-12-21,2023-12-21 17:20:01,2023-12-21 13:50:01,3.5,4.0
SC4,2023-12-22,2023-12-22 17:20:01,2023-12-22 16:20:01,1.0,131.0
SC4,2023-12-23,2023-12-23 16:50:01,2023-12-23 10:20:01,6.5,208.0
SC4,2023-12-24,2023-12-24 16:50:01,2023-12-24 16:20:01,0.5,322.0
SC4,2023-12-25,2023-12-25 16:50:01,2023-12-25 07:20:01,9.5,234.0
SC4,2023-12-26,2023-12-26 16:50:01,2023-12-26 07:20:01,9.5,166.0
SC4,2023-12-27,2023-12-27 17:20:01,2023-12-27 07:20:00,10.000277777777777,118.0
SC4,2023-12-28,2023-12-28 16:50:01,2023-12-28 13:50:01,3.0,6.0
SC4,2023-12-29,2023-12-29 17:20:01,2023-12-29 07:20:01,10.0,1.0
SC4,2023-12-30,2023-12-30 16:50:01,2023-12-30 15:50:01,1.0,88.0
SC4,2023-12-31,2023-12-31 17:20:01,2023-12-31 12:20:01,5.0,141.0
SC4,2024-01-01,2024-01-01 17:20:01,2024-01-01 13:20:01,4.0,12.0
SC4,2024-01-02,2024-01-02 17:20:01,2024-01-02 07:20:01,10.0,6.0
SC4,2024-01-03,2024-01-03 17:20:01,2024-01-03 15:20:01,2.0,120.0
SC4,2024-01-04,2024-01-04 17:20:01,2024-01-04 09:20:01,8.0,153.0
SC4,2024-01-05,2024-01-05 14:20:01,2024-01-05 07:20:01,7.0,127.0
SC6,2023-12-17,2023-12-17 16:50:01,2023-12-17 07:50:01,9.0,120.0
SC6,2023-12-18,2023-12-18 16:50:01,2023-12-18 07:50:01,9.0,77.0
SC6,2023-12-19,2023-12-19 16:50:01,2023-12-19 09:20:01,7.5,18.0
SC6,2023-12-20,2023-12-20 16:50:01,2023-12-20 07:50:01,9.0,17.0
SC6,2023-12-21,2023-12-21 16:50:02,2023-12-21 08:50:01,8.000277777777777,15.0
SC6,2023-12-22,2023-12-22 16:50:01,2023-12-22 15:20:01,1.5,135.0
SC6,2023-12-23,2023-12-23 16:50:01,2023-12-23 10:20:01,6.5,56.0
SC6,2023-12-24,2023-12-24 16:50:01,2023-12-24 15:50:01,1.0,75.0
SC6,2023-12-25,2023-12-25 16:20:01,2023-12-25 16:20:01,0.0,84.0
SC6,2023-12-27,2023-12-27 16:50:01,2023-12-27 11:50:01,5.0,108.0
SC6,2023-12-28,2023-12-28 16:50:01,2023-12-28 15:20:01,1.5,83.0
SC6,2023-12-29,2023-12-29 17:20:02,2023-12-29 07:50:01,9.500277777777777,77.0
SC6,2023-12-30,2023-12-30 16:50:02,2023-12-30 14:20:01,2.500277777777778,70.0
SC6,2023-12-31,2023-12-31 16:50:01,2023-12-31 10:20:01,6.5,26.0
SC6,2024-01-01,2024-01-01 17:00:01,2024-01-01 17:00:01,0.0,165.0
SC6,2024-01-02,2024-01-02 17:20:01,2024-01-02 07:20:01,10.0,144.0
SC6,2024-01-03,2024-01-03 17:20:01,2024-01-03 09:20:01,8.0,79.0
SC6,2024-01-04,2024-01-04 17:00:01,2024-01-04 15:30:01,1.5,41.0
SC8,2024-01-07,2024-01-07 17:20:01,2024-01-07 06:50:01,10.5,243.0
SC8,2024-01-08,2024-01-08 17:20:01,2024-01-08 16:20:01,1.0,242.0
SC8,2024-01-09,2024-01-09 17:20:01,2024-01-09 08:50:01,8.5,255.0
SC8,2024-01-10,2024-01-10 17:20:01,2024-01-10 08:20:01,9.0,253.0
SC8,2024-01-11,2024-01-11 17:20:00,2024-01-11 06:50:01,10.499722222222223,245.0
SC8,2024-01-12,2024-01-12 17:30:01,2024-01-12 15:30:01,2.0,212.0
SC8,2024-01-13,2024-01-13 17:30:02,2024-01-13 07:30:01,10.000277777777777,227.0
SC8,2024-01-14,2024-01-14 17:30:01,2024-01-14 11:30:01,6.0,214.0
SC8,2024-01-15,2024-01-15 17:30:01,2024-01-15 16:00:01,1.5,271.0
SC8,2024-01-16,2024-01-16 17:30:01,2024-01-16 16:30:01,1.0,284.0
SC8,2024-01-17,2024-01-17 17:30:01,2024-01-17 07:00:01,10.5,293.0
SC8,2024-01-18,2024-01-18 17:20:01,2024-01-18 09:10:01,8.166666666666666,61.0
SC8,2024-01-19,2024-01-19 17:20:01,2024-01-19 08:50:01,8.5,24.0
SC8,2024-01-20,2024-01-20 17:20:01,2024-01-20 07:50:01,9.5,4.0
SC8,2024-01-21,2024-01-21 17:20:01,2024-01-21 11:50:01,5.5,7.0
SC8,2024-01-22,2024-01-22 17:20:01,2024-01-22 10:50:01,6.5,23.0
SC8,2024-01-23,2024-01-23 17:20:01,2024-01-23 13:50:01,3.5,8.0
SC8,2024-01-24,2024-01-24 17:20:01,2024-01-24 10:20:01,7.0,9.0
SC8,2024-01-25,2024-01-25 17:50:01,2024-01-25 11:50:01,6.0,37.0
SC8,2024-01-26,2024-01-26 17:20:01,2024-01-26 09:50:01,7.5,41.0
