Deployment ID,Status,Percent Complete,Observer,Effort,Notes,Youtube Link
SC1,Complete,100%,Skyler,Medium,,https://www.youtube.com/watch?v=-zeGd_WTeWo&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=1
SC2,Complete,100%,Vincent,Medium,,https://www.youtube.com/watch?v=N5hJl9ISmds&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=4
SC8,Complete,100%,Skyler,Hard,,https://www.youtube.com/watch?v=AOWrySdh1z8&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=14
UDMH2,In Review,100%,Skyler,Medium,,https://www.youtube.com/watch?v=57Jut_Rt1zE&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=2
UDMH4,In Review,100%,Skyler,Easy,,https://www.youtube.com/watch?v=1j0kNCEX0LQ&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=12
SC5,No Monarchs,100%,NA,NA,,https://www.youtube.com/watch?v=1LG6O86pPvU&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=11
SC11,No Monarchs,100%,NA,NA,,https://www.youtube.com/watch?v=HLJHMDtCeeQ&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=16
SLC6_1,No Monarchs,100%,NA,NA,,https://www.youtube.com/watch?v=XnDkDjUaAwk&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=7
UDMH1,No Monarchs,100%,NA,NA,,https://www.youtube.com/watch?v=x0Hnxt4L8gc&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=9
UDMH3,No Monarchs,100%,NA,NA,,https://www.youtube.com/watch?v=L7dUnUuXDs8&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=17
SC6,Complete,75%,Vincent,Hard,,https://www.youtube.com/watch?v=MqmH5L3lXbk&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=3
SC4,Complete,38%,Kevin,Hard,,https://www.youtube.com/watch?v=RW91J3HMm_4&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=5
SC10,Complete,5%,Emery,Hard,,https://www.youtube.com/watch?v=0zLjm9PA6YM&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=10
SC7,Complete,0%,Vincent,Easy,No butterflies after initial setup,https://www.youtube.com/watch?v=UYxXEPVmqLY&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=6
SC9,Complete,0%,Vincent,Easy,first butterflies at 1/26/24,https://www.youtube.com/watch?v=EUo4zfKfiAo&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=15
SLC6_2,Complete,0%,Vincent,Easy,First cluster on 12/22/23,https://www.youtube.com/watch?v=r8f3oCAFK9k&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=8
SC12,Complete,100%,Vincent,Hard,,https://www.youtube.com/watch?v=4uLZIZqlgPE&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=13
SC3,Not Started,0%,Kyle?,Medium,Need to check if there is a suitable wind meter. Do this one last.,https://www.youtube.com/watch?v=EjNyWgDMnaA&list=PLI9PCtr_g-ll_PTp6OJ82KwyK_WNI3z97&index=18