deployment_id,date,photo_count,max_butterflies,butterflies_95th_percentile,butterflies_top3_mean,sum_butterflies_direct_sun,time_of_max,temp_max,temp_min,temp_mean,temp_at_max_count,hours_above_15C,degree_hours_above_15C,days_since_oct15,wind_avg_sustained,wind_max_gust,wind_gust_sum,wind_gust_sum_above_2ms,wind_gust_hours,wind_minutes_above_2ms,wind_gust_sd,wind_mode_gust,wind_obs_count
SC1,2023-11-18,22,56.0,55.95,55.666666666666664,0.0,2023-11-18 06:30:02,18.0,15.0,16.727272727272727,16.0,11.0,19.0,34,1.5639389736477114,4.9,1611.6000000000001,1367.6999999999998,26.860000000000003,480,1.2182667487732683,3.0,721
SC1,2023-11-19,22,21.0,20.9,20.333333333333332,5.0,2023-11-19 07:30:01,21.0,11.0,15.136363636363637,11.0,6.5,12.0,35,0.5797222222222222,4.5,916.1,259.6,15.268333333333334,158,0.7902394719096189,1.5,720
SC1,2023-11-20,22,5.0,5.0,5.0,3.0,2023-11-20 06:30:01,20.0,8.0,14.954545454545455,9.0,7.0,15.5,36,1.0552777777777778,6.3,1130.5,685.8999999999999,18.841666666666665,241,1.370028875014788,0.0,720
SC1,2023-12-15,23,0.0,0.0,0.0,0.0,2023-12-15 00:00:01,18.0,9.0,11.217391304347826,12.0,1.5,2.5,61,0.5082278481012659,3.2,234.3,40.0,3.9050000000000002,19,0.674070625049595,1.0,316
SC10,2024-01-06,22,39.0,29.9,32.333333333333336,8.0,2024-01-06 16:06:04,17.0,5.0,13.0,13.0,5.5,6.0,83,0.6754166666666668,3.8,666.7,181.0,11.111666666666668,74,0.7984723936017768,0.5,720
SC10,2024-01-07,21,78.0,77.0,74.66666666666667,104.0,2024-01-07 15:36:04,19.0,5.0,13.047619047619047,15.0,5.0,11.0,84,1.3319444444444444,4.7,1350.4,743.4,22.506666666666668,356,0.7231804444152719,2.0,720
SC10,2024-01-08,21,130.0,127.0,128.0,176.0,2024-01-08 15:06:04,19.0,3.0,12.857142857142858,18.0,5.0,13.5,85,0.9105555555555556,3.2,935.9000000000001,317.3999999999999,15.598333333333334,194,0.8305451618071514,2.0,720
SC10,2024-01-09,21,148.0,145.0,144.66666666666666,416.0,2024-01-09 16:36:04,19.0,5.0,13.761904761904763,13.0,5.0,13.0,86,1.2477115117891817,3.8,1260.0,908.6999999999999,21.0,438,1.0164878616174096,2.0,721
SC10,2024-01-10,21,282.0,180.0,197.0,385.0,2024-01-10 08:36:04,18.0,7.0,13.047619047619047,8.0,4.0,8.0,87,1.6387500000000002,4.7,1629.1,1221.3,27.151666666666664,529,0.7113475098075996,2.0,720
SC10,2024-01-11,21,306.0,220.0,245.66666666666666,456.0,2024-01-11 14:36:04,18.0,6.0,12.523809523809524,17.0,4.0,6.5,88,1.354923717059639,3.7,1359.7,736.3,22.66166666666667,383,0.590874705199476,2.0,721
SC10,2024-01-12,22,770.0,476.5999999999999,548.0,387.0,2024-01-12 16:06:04,18.0,5.0,12.909090909090908,13.0,5.0,10.0,89,1.2151388888888888,4.1,1240.8000000000002,531.8,20.680000000000003,304,0.6335409463776867,2.0,720
SC10,2024-01-13,22,497.0,420.55,443.3333333333333,1122.0,2024-01-13 14:36:04,20.0,5.0,13.818181818181818,19.0,5.5,14.5,90,0.9191666666666666,3.2,949.0,455.5999999999999,15.816666666666666,265,0.9416829235368532,2.0,720
SC10,2024-01-14,21,500.0,499.0,499.0,0.0,2024-01-14 08:06:04,14.0,10.0,12.714285714285714,10.0,0.0,0.0,91,0.6948611111111112,2.2,729.4000000000001,4.4,12.156666666666668,10,0.41356901396914064,1.0,720
SC10,2024-01-15,22,397.0,283.44999999999993,294.0,373.0,2024-01-15 08:26:04,20.0,7.0,14.045454545454545,9.0,5.5,13.5,92,0.36611111111111116,2.2,381.8,4.4,6.363333333333333,6,0.6194797319601185,0.0,720
SC10,2024-01-16,22,79.0,68.9,71.66666666666667,145.0,2024-01-16 07:26:04,20.0,8.0,13.954545454545455,8.0,4.5,13.5,93,0.4223611111111111,2.2,459.30000000000007,2.2,7.655000000000001,15,0.6677915723821658,0.0,720
SC10,2024-01-17,22,5.0,4.0,4.333333333333333,2.0,2024-01-17 16:26:04,23.0,11.0,15.545454545454545,12.0,6.0,19.0,94,0.4119444444444445,2.6,447.5,11.8,7.458333333333333,13,0.6340328561271416,0.0,720
SC10,2024-01-18,22,5.0,4.0,4.333333333333333,14.0,2024-01-18 08:26:04,18.0,8.0,14.136363636363637,9.0,6.0,9.5,95,0.46255201109570043,4.1,607.6,143.5,10.126666666666667,83,0.8194716046913166,0.0,721
SC10,2024-01-19,22,0.0,0.0,0.0,0.0,2024-01-19 06:56:04,19.0,11.0,14.681818181818182,11.0,5.5,12.5,96,1.4702777777777776,5.5,1745.4,1411.6,29.09,598,0.6846818901369468,2.0,720
SC10,2024-01-20,22,0.0,0.0,0.0,0.0,2024-01-20 06:56:04,17.0,12.0,14.318181818181818,12.0,4.5,4.5,97,1.2438280166435507,4.7,1371.0,586.2999999999998,22.85,332,0.6849861330462911,2.0,721
SC10,2024-01-21,22,0.0,0.0,0.0,0.0,2024-01-21 06:56:04,23.0,13.0,17.181818181818183,13.0,7.5,29.5,98,1.3972222222222221,6.3,1654.3,1177.7999999999997,27.571666666666665,483,0.9639005613790554,2.0,720
SC10,2024-01-22,22,4.0,3.0,3.3333333333333335,0.0,2024-01-22 12:56:04,18.0,12.0,14.727272727272727,14.0,4.5,6.5,99,0.9429166666666668,4.1,1035.6,187.69999999999996,17.259999999999998,110,0.5703645468229953,1.5,720
SC10,2024-01-23,22,357.0,245.95,282.6666666666667,265.0,2024-01-23 16:26:04,19.0,11.0,15.090909090909092,14.0,6.0,15.0,100,1.3595833333333334,3.8,1375.2,758.5,22.92,384,0.589131984475574,2.0,720
SC10,2024-01-24,22,309.0,299.9,302.3333333333333,0.0,2024-01-24 16:26:04,14.0,11.0,12.727272727272727,14.0,0.0,0.0,101,0.10680555555555554,2.0,119.30000000000001,0.0,1.9883333333333335,1,0.404293117164536,0.0,720
SC10,2024-01-25,22,270.0,266.7,260.0,406.0,2024-01-25 09:56:04,19.0,11.0,14.772727272727273,13.0,5.0,14.0,102,1.0975034674063804,3.2,1105.6000000000001,463.4,18.42666666666667,284,0.788832152157865,2.0,721
SC10,2024-01-26,22,137.0,96.9,109.66666666666667,178.0,2024-01-26 09:26:04,23.0,9.0,17.90909090909091,15.0,8.5,43.5,103,0.3365277777777778,2.0,402.5,0.0,6.708333333333333,5,0.5858570976489988,0.0,720
SC10,2024-01-27,21,0.0,0.0,0.0,0.0,2024-01-27 06:56:04,25.0,9.0,18.666666666666668,9.0,8.5,47.5,104,0.18198198198198198,1.6,115.50000000000001,0.0,1.9250000000000003,0,0.4484344271149104,0.0,444
SC10,2024-01-28,23,8.0,6.699999999999996,6.333333333333333,0.0,2024-01-28 17:50:01,34.0,14.0,23.0,16.0,10.5,93.0,105,,,,,,0,,,0
SC10,2024-01-29,22,23.0,14.699999999999996,15.666666666666666,15.0,2024-01-29 14:50:01,29.0,12.0,19.863636363636363,25.0,9.0,59.0,106,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,60
SC10,2024-01-30,22,10.0,9.0,9.333333333333334,23.0,2024-01-30 16:20:01,22.0,8.0,15.136363636363637,13.0,6.0,20.5,107,,,,,,0,,,0
SC10,2024-01-31,22,9.0,7.949999999999999,8.0,0.0,2024-01-31 09:50:01,18.0,11.0,14.136363636363637,14.0,4.0,4.5,108,,,,,,0,,,0
SC12,2024-01-28,22,37.0,27.749999999999996,29.333333333333332,49.0,2024-01-28 07:30:00,29.0,15.0,20.727272727272727,15.0,11.0,63.0,105,0.6686546463245493,3.0,682.9000000000001,84.0,11.381666666666668,58,0.7369010480174872,0.0,721
SC12,2024-01-29,22,159.0,70.04999999999997,88.0,140.0,2024-01-29 17:00:01,21.0,12.0,17.045454545454547,16.0,9.0,27.5,106,0.6729166666666667,5.1,706.9000000000001,169.20000000000002,11.781666666666668,85,0.855637976018628,0.0,720
SC12,2024-01-30,22,143.0,138.7,138.33333333333334,584.0,2024-01-30 10:30:01,19.0,8.0,13.454545454545455,14.0,4.5,6.5,107,0.7084722222222223,3.4,697.7,134.8,11.628333333333334,90,0.787064509203248,0.0,720
SC12,2024-01-31,22,149.0,129.09999999999994,112.33333333333333,18.0,2024-01-31 09:30:01,16.0,11.0,13.636363636363637,13.0,3.0,0.5,108,1.4730555555555553,7.2,1729.5,1409.4,28.825,448,1.4383708887592386,3.0,720
SC12,2024-02-01,22,29.0,26.0,27.0,68.0,2024-02-01 15:30:01,20.0,11.0,13.909090909090908,15.0,3.5,5.0,109,0.9605555555555554,5.5,965.4000000000001,325.4999999999999,16.09,162,0.9196808873905299,2.0,720
SC12,2024-02-02,22,35.0,32.64999999999999,31.333333333333332,202.0,2024-02-02 08:00:01,16.0,6.0,11.590909090909092,8.0,0.5,0.5,110,1.2962552011095698,4.1,1246.9,889.5999999999999,20.78166666666667,376,1.023227901429958,2.0,721
SC12,2024-02-03,22,26.0,25.599999999999994,23.333333333333332,22.0,2024-02-03 11:30:01,13.0,6.0,11.0,12.0,0.0,0.0,111,0.73125,2.8,733.5,70.80000000000001,12.225,55,0.6188473234455685,1.0,720
SC2,2023-11-18,22,120.0,110.95,113.66666666666667,34.0,2023-11-18 06:30:01,19.0,16.0,17.227272727272727,16.0,11.0,24.5,34,0.2677777777777778,10.5,319.7,205.0,5.328333333333333,94,1.105690376751661,0.0,720
SC4,2023-12-04,21,569.0,497.0,465.0,377.0,2023-12-04 09:30:01,24.0,9.0,18.238095238095237,19.0,8.5,44.0,50,0.3317614424410541,2.0,360.8,0.0,6.013333333333334,6,0.6208751386074274,0.0,721
SC4,2023-12-05,21,193.0,187.0,188.33333333333334,104.0,2023-12-05 07:00:01,30.0,12.0,22.571428571428573,13.0,9.0,83.5,51,0.23222222222222222,2.0,236.50000000000003,0.0,3.9416666666666673,1,0.43145824386066955,0.0,720
SC4,2023-12-06,22,6.0,4.849999999999998,4.333333333333333,0.0,2023-12-06 15:30:01,21.0,10.0,14.5,18.0,4.5,13.5,52,0.6131761442441054,3.2,638.3000000000001,45.40000000000001,10.638333333333334,52,0.7209601631077901,0.0,721
SC4,2023-12-07,22,184.0,169.9,174.0,80.0,2023-12-07 16:00:01,20.0,9.0,15.590909090909092,14.0,6.5,20.5,53,1.7270833333333333,4.3,1756.5,1472.6999999999998,29.275,585,0.750448984755423,3.0,720
SC4,2023-12-08,21,337.0,268.0,290.3333333333333,547.0,2023-12-08 15:00:01,20.0,9.0,15.285714285714286,19.0,7.0,16.5,54,1.7206657420249656,4.1,1749.7000000000003,1410.1999999999998,29.161666666666672,597,0.5086656977915103,2.5,721
SC4,2023-12-09,21,257.0,248.0,244.66666666666666,199.0,2023-12-09 07:30:01,26.0,8.0,18.38095238095238,8.0,7.5,49.5,55,0.32458333333333333,2.4,372.6,9.0,6.21,10,0.56889652356133,0.0,720
SC4,2023-12-10,21,28.0,19.0,21.666666666666668,19.0,2023-12-10 15:00:01,22.0,6.0,16.666666666666668,20.0,7.0,36.0,56,0.31347222222222226,2.0,326.3,0.0,5.4383333333333335,1,0.5879559045771121,0.0,720
SC4,2023-12-11,21,37.0,27.0,26.333333333333332,16.0,2023-12-11 17:00:01,23.0,12.0,18.142857142857142,13.0,7.5,39.5,57,0.6877777777777777,3.2,734.7,62.80000000000001,12.245000000000001,68,0.7104131836586328,0.0,720
SC4,2023-12-12,21,54.0,45.0,48.0,82.0,2023-12-12 08:30:01,22.0,6.0,16.904761904761905,8.0,7.0,39.5,58,0.5076388888888889,2.8,545.8000000000001,74.6,9.096666666666668,60,0.7864758083930184,0.0,720
SC4,2023-12-13,21,18.0,16.0,16.666666666666668,9.0,2023-12-13 15:00:01,21.0,4.0,16.0,19.0,7.0,32.5,59,0.4342579750346741,2.0,432.0,0.0,7.2,2,0.6481592532933825,0.0,721
SC4,2023-12-14,21,5.0,5.0,4.333333333333333,2.0,2023-12-14 07:00:01,28.0,7.0,19.904761904761905,7.0,8.0,66.5,60,0.37625000000000003,4.1,494.2,125.9,8.236666666666666,76,0.8151099238233543,0.0,720
SC4,2023-12-15,20,0.0,0.0,0.0,0.0,2023-12-15 07:00:01,32.0,7.0,21.45,8.0,7.5,79.5,61,0.463245492371706,4.1,614.4000000000001,169.39999999999998,10.240000000000002,88,0.8173289557917615,0.0,721
SC4,2023-12-16,21,150.0,129.0,127.66666666666667,2.0,2023-12-16 16:20:01,29.0,15.0,21.761904761904763,17.0,10.5,71.0,62,0.3822222222222222,2.4,467.5,22.599999999999998,7.791666666666667,25,0.6709755138332604,0.0,720
SC4,2023-12-17,21,135.0,135.0,132.0,48.0,2023-12-17 07:50:01,30.0,13.0,20.571428571428573,14.0,9.0,60.5,63,0.2038888888888889,3.4,235.89999999999998,20.8,3.931666666666666,11,0.5629991046259418,0.0,720
SC4,2023-12-18,20,8.0,7.050000000000001,7.333333333333333,0.0,2023-12-18 07:50:01,23.0,14.0,17.4,17.0,9.0,25.0,64,1.0666666666666667,4.5,1293.5,579.8,21.558333333333334,300,0.7139201260478232,2.0,720
SC4,2023-12-19,22,0.0,0.0,0.0,0.0,2023-12-19 06:50:01,18.0,13.0,15.318181818181818,14.0,8.0,7.0,65,0.617753120665742,3.2,836.2,96.4,13.936666666666667,67,0.6011026494120787,1.0,721
SC4,2023-12-20,20,0.0,0.0,0.0,0.0,2023-12-20 07:20:01,14.0,11.0,12.3,13.0,0.0,0.0,66,0.9780555555555556,5.7,1260.5,772.2,21.008333333333333,319,1.0782975124802567,2.0,720
SC4,2023-12-21,21,4.0,3.0,3.0,3.0,2023-12-21 13:50:01,22.0,12.0,14.857142857142858,17.0,4.5,11.5,67,0.6667128987517337,5.9,914.4000000000001,494.5,15.240000000000002,195,1.168630883988289,0.0,721
